No,Kategori,Indikator Penilaian,0 (Tidak Setuju),1 (Kurang Setuju),2 (Cukup Setuju),3 (Setuju),4 (Sangat Setuju)
1,Dampak Leadership Project,Leadership Project yang dijalankan memberikan dampak positif yang nyata bagi komunitas atau penerima manfaat.  ,0,1,2,3,4
2,Dampak Leadership Project,Sasaran Leadership Project telah tercapai sesuai dengan tujuannya,0,1,2,3,4
3,Dampak Leadership Project,"Penerima manfaat leadership project menunjukkan perubahan perilaku, pemahaman, atau kondisi setelah leadership project dilaksanakan",0,1,2,3,4
4,Dampak Leadership Project,Apakah  Leadership Project ini menjawab kebutuhan nyata di masyarakat.,0,1,2,3,4
5,Dampak Leadership Project,Leadership Project ini memiliki potensi untuk dilanjutkan atau direplikasi di tempat lain.,0,1,2,3,4
6,Dampak Leadership Project,Apakah Leadership yang diimplementasikan berhasil mempengaruhi kebijakan yang lebih luas!,0,1,2,3,4
7,Dampak Leadership Project,"Apakah Leadership project tersebut berpotensi ?membangun kemitraan dengan pemangku kepentingan terkait (pemerintah, swasta, lembaga filantropi, komunitas, dan sejenisnya)?",0,1,2,3,4
8,Peran dan Pengalaman Kepemimpinan,Awardee BAKTI NUSA 15 memiliki peran aktif dan sentral dalam pelaksanaan leadership project,0,1,2,3,4
9,Peran dan Pengalaman Kepemimpinan,Awardee BAKTI NUSA 15  mampu mengambil keputusan penting selama Leadership project berlangsung.,0,1,2,3,4
10,Peran dan Pengalaman Kepemimpinan,Awardee BAKTI NUSA 15 mampu memimpin tim secara efektif.,0,1,2,3,4
11,Peran dan Pengalaman Kepemimpinan,Awardee BAKTI NUSA 15 mampu mengelola konflik dan tantangan yang muncul selama proyek.,0,1,2,3,4
12,Peran dan Pengalaman Kepemimpinan,Awardee BAKTI NUSA 15 merasa lebih percaya diri dalam menjalankan peran sebagai pemimpin setelah menyelesaikan Leadership project ini.,0,1,2,3,4
13,Pengembangan Kapasitas Pribadi,Leadership Project ini membantu saya meningkatkan kemampuan komunikasi interpersonal.,0,1,2,3,4
14,Pengembangan Kapasitas Pribadi,Saya menjadi lebih peka terhadap isu sosial dan kebutuhan masyarakat.,0,1,2,3,4
15,Pengembangan Kapasitas Pribadi,Saya merasa lebih tangguh dan adaptif dalam menghadapi tantangan.,0,1,2,3,4
16,Pengembangan Kapasitas Pribadi,Saya belajar mengelola waktu dan sumber daya secara lebih efektif.,0,1,2,3,4
17,Pengembangan Kapasitas Pribadi,Saya menjadi lebih reflektif dan mampu mengevaluasi tindakan saya sebagai pemimpin.,0,1,2,3,4
18,Refleksi dan Rencana Ke Depan  ,Saya merasa puas dengan pelaksanaan leadership project yang dilakukan oleh Awardee BAKTI NUSA 15,0,1,2,3,4
19,Refleksi dan Rencana Ke Depan  ,Pengalaman ini mendorong saya untuk terus terlibat dalam proyek sosial ke depannya,0,1,2,3,4
20,Refleksi dan Rencana Ke Depan  ,Saya merasa project ini memberikan makna dan pembelajaran penting dalam hidup saya.,0,1,2,3,4
21,Refleksi dan Rencana Ke Depan  ,Saya memiliki rencana atau ide lanjutan untuk proyek sosial serupa di masa mendatang.,0,1,2,3,4
22,Refleksi dan Rencana Ke Depan  ,Saya akan merekomendasikan pengalaman ini kepada orang lain yang ingin belajar kepemimpinan sosial.,0,1,2,3,4
